CustomerID,CustomerName,EducationLevel,Occupation
11176,Mason Roberts,Bachelors,Management
11185,Ashley Henderson,Bachelors,Management
11223,Hailey Patterson,High School,Professional
11262,Jennifer Simmons,Bachelors,Management
11276,Nancy Chapman,Partial College,Professional
11277,Charles Jackson,Partial College,Professional
11287,Henry Garcia,Partial College,Professional
11300,Fernando Barnes,Partial College,Professional
11330,Ryan Thompson,Graduate Degree,Management
11331,Samantha Jenkins,Partial College,Skilled Manual
